GEOID,NAME,variable,estimate,moe,year
2436075,"Hagerstown city, Maryland",medi_house_income,39251,2565,2015
2436075,"Hagerstown city, Maryland",medi_house_income,40342,2833,2016
2436075,"Hagerstown city, Maryland",medi_house_income,40761,2359,2017
2436075,"Hagerstown city, Maryland",medi_house_income,40531,2231,2018
2436075,"Hagerstown city, Maryland",medi_house_income,40800,2802,2019
2436075,"Hagerstown city, Maryland",medi_house_income,41905,2248,2020
2436075,"Hagerstown city, Maryland",medi_house_income,42965,2363,2021
