variable,location,year_2008,year_2013,year_2018,pct_change_5,pct_change_10,pct_change_5_to_10
median household income,Maryland,66873,73538,81868,10,22.4,11.3
median household income,Charles County,80573,93160,95924,15.6,19.1,3
median household income,Waldorf,86901,86819,91950,-0.1,5.8,5.9
median household income,Census Tract 8509.04,109110,110264,104330,1.1,-4.4,-5.4
