variable,location,year_2008,year_2013,year_2018,pct_change_5,pct_change_10,pct_change_5_to_10
pct with bachelors degrees,Maryland,19.3,20.1,21.3,0.8000000000000007,2,1.1999999999999993
pct with bachelors degrees,Charles County,15.5,16.6,17.3,1.1000000000000014,1.8000000000000007,0.6999999999999993
pct with bachelors degrees,Waldorf,16,16.6,17.3,0.6000000000000014,1.3000000000000007,0.6999999999999993
pct with bachelors degrees,Census Tract 8509.04,20.2,29.1,22.1,8.900000000000002,1.9000000000000021,-7
pct with bachelors degrees,Census Tract 8508.02_comparison,10,12.2,14.2,2.1999999999999993,4.199999999999999,2
