variable,location,year_2008,year_2013,year_2018,pct_change_5,pct_change_10,pct_change_5_to_10
median gross rent,Maryland,977,1196,1357,22.4,38.9,13.5
median gross rent,Charles County,1117,1463,1661,31,48.7,13.5
median gross rent,Waldorf,1247,1529,1706,22.6,36.8,11.6
median gross rent,Census Tract 8509.04,1437,1720,1875,19.7,30.5,9
median gross rent,Census Tract 8508.02_comparison,1250,1352,1695,8.2,35.6,25.4
