variable,location,year_2008,year_2013,year_2018,pct_change_5,pct_change_10,pct_change_5_to_10
total real estate taxes paid,Maryland,4511950600,5065207700,5562444200,12.3,23.3,9.8
total real estate taxes paid,Charles County,118668000,136144300,162847900,14.7,37.2,19.6
total real estate taxes paid,Waldorf,43981400,50287000,61738400,14.3,40.4,22.8
total real estate taxes paid,Census Tract 8509.04,4102300,6452300,11564600,57.3,181.9,79.2
total real estate taxes paid,Census Tract 8508.02_comparison,2478200,2895700,4664800,16.8,88.2,61.1
